,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Mr. William A. Kozy', 'age': 70, 'title': 'Chairman of Board & Interim CEO', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 185000, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
1,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Mr. Alex  Shvartsburg', 'age': 51, 'title': 'Chief Financial Officer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 852198, 'exercisedValue': 0, 'unexercisedValue': 46910}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
2,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Ms. Trui  Hebbelinck', 'age': 50, 'title': 'Chief HR Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 731407, 'exercisedValue': 0, 'unexercisedValue': 75184}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
3,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Mr. Marco  Dolci', 'age': 60, 'title': 'Pres of Cardiopulmonary Bus. Unit', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1144289, 'exercisedValue': 0, 'unexercisedValue': 46994}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
4,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Lindsey  Little', 'title': 'Sr. Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
5,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Mr. Michael  Hutchinson', 'age': 51, 'title': 'Sr. VP, Chief Legal Officer & Company Sec.', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
6,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Deanna  Wilke', 'title': 'VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
7,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Mr. Matthew Joseph Dodds III', 'title': 'Sr. VP of Corp. Devel. & IT', 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
8,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Dr. Bryan D. Olin Ph.D.', 'age': 55, 'title': 'Sr. VP & Head of Product Devel. - Neuromodulation', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
9,20 Eastbourne Terrace,London,W2 6LG,United Kingdom,44 20 3325 0660,https://www.livanova.com,Medical Devices,Healthcare,"LivaNova PLC, a medical device company, designs, develops, manufactures, and sells therapeutic solutions worldwide. It operates through three segments: Cardiopulmonary, Neuromodulation, and Advanced Circulatory Support. The Cardiopulmonary segment develops, produces, and sells cardiopulmonary products, including oxygenators, heart-lung machines, autotransfusion systems, perfusion tubing systems, cannulae, connect, and other related products. The Neuromodulation segment designs, develops, and markets VNS Therapy System, an implantable device that delivers vagus nerve stimulation (VNS) therapy for the treatment of drug-resistant epilepsy, difficult-to-treat depression, and obstructive sleep apnea. It is also involved in the development and clinical testing of the VITARIA System for treating heart failure through VNS. The Advanced Circulatory Support segment develops, produces, and sells temporary life support products. It serves perfusionists, neurologists, neurosurgeons, and other physicians, as well as hospitals, other medical institutions, and healthcare providers. The company sells its products through direct sales representatives and independent distributors. It also engages in research collaboration with Verily to capture clinical biomarkers of depression. LivaNova PLC was founded in 1987 and is headquartered in London, the United Kingdom.",2900,"{'maxAge': 1, 'name': 'Mr. Ryan  Miller', 'title': 'Pres of Advanced Circulatory Support', 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,3,3,1693526400,1672444800,86400,2,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,0.0,0.893499,21.169355,14,14,2,0,0,54.0,54.5,2875314688,37.6,54.0,2.6505995,49.546,46.6875,0.0,0.0,EUR,3095318784,-0.08956,53651818,53883000,0.00487,1.05845,23.047,2.2779536,1672444800,1703980800,1688083200,-0.93,-97158000,-1.69,2.48,2.853,34.003,FRA,EQUITY,LIA.F,LIA.F,"LIVANOVA PLC  DL -,01",LivaNova PLC,968392800,Europe/Berlin,CEST,7200000,52.5,none,222935008,4.137,91032000,624105024,1.419,3.268,1084779008,50.306,20.231,0.011410001,-0.07703,696728000,37298876,57161000,-0.933,0.156,0.66669,0.08392,0.03935,USD,29.5737
