,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Mr. Scott Douglas Sheffield', 'age': 69, 'title': 'CEO & Director', 'yearBorn': 1953, 'fiscalYear': 2022, 'totalPay': 4182833, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
1,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Mr. Richard P. Dealy', 'age': 56, 'title': 'Pres, COO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1834803, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
2,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Mr. Neal H. Shah', 'age': 51, 'title': 'Exec. VP & CFO', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1300259, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
3,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Mr. Mark S. Berg', 'age': 63, 'title': 'Exec. VP of Corp. Operations', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 1224594, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
4,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Mr. Jerome D. Hall Jr.', 'age': 56, 'title': 'Exec. VP of Operations', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1226259, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
5,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Mr. Christopher L. Washburn', 'age': 38, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
6,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Ms. Bonnie S. Black', 'age': 50, 'title': 'Sr. VP of Technology & Operations Support', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
7,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Mr. Larry N. Paulsen', 'title': 'Sr. VP of Admin. and Risk Management', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
8,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Mr. Mark H. Kleinman', 'age': 60, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
9,777 Hidden Ridge,Irving,TX,75038,United States,972 444 9001,https://www.pxd.com,Oil & Gas E&P,Energy,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations in the Midland Basin in West Texas. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas.",2076,"{'maxAge': 1, 'name': 'Ms. Tyson L. Taylor', 'age': 43, 'title': 'Sr. VP of HR & Communications', 'yearBorn': 1979, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,8,7,1693526400,1672444800,86400,2,237.35,235.67,233.805,238.34,237.35,235.67,233.805,238.34,16.47,0.0704,1693872000,0.986,3.41,1.456085,9.940526,9.915254,2289387,2289387,1682835,2019420,2019420,232.11,234.5,800,1400,54554992640,177.27,274.7,2.6759696,228.5266,218.17155,23.2,0.09774595,USD,60036030464,0.28395,231455542,233140992,3269881,3604627,1690761600,1693440000,0.0139999995,0.00693,0.86530995,2.03,0.014099999,94.364,2.4797592,1672444800,1703980800,1688083200,-0.535,5779999744,23.54,23.6,-2.91,2.945,5.938,NYQ,EQUITY,PXD,PXD,Pioneer Natural Resources Compa,Pioneer Natural Resources Company,871047000,America/New_York,EDT,-14400000,234.0,332.0,225.0,260.38,262.5,2.4,buy,26,228000000,0.978,10110999552,5709000192,0.544,0.732,20387000320,25.95,86.386,0.12776,0.25285,13262000000,3023000064,9575999488,-0.512,-0.349,0.52612,0.49595,0.36494,USD,
