,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. George Robert Aylward Jr., CPA, CPA', 'age': 58, 'title': 'Pres, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 3315250, 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
1,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. Michael Aaron Angerthal CPA, CPA', 'age': 55, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 2261083, 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
2,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. Richard William Smirl J.D.', 'age': 55, 'title': 'Exec. VP & COO', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 2570250, 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
3,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. Barry Mitchell Mandinach J.D.', 'age': 66, 'title': 'Exec. VP & Head of Distribution', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 1780250, 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
4,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. Sean  Rourke', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
5,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. Joe  Fazzino', 'title': 'VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
6,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Ms. Mardelle W. Peña', 'age': 69, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1953, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
7,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. William Patrick Bradley III, CPA', 'age': 50, 'title': 'Exec. VP of Fund Services', 'yearBorn': 1972, 'fiscalYear': 2018, 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
8,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. Thomas  Franco', 'title': 'Sr. Managing Director & Head of Retail Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
9,One Financial Plaza,Hartford,CT,06103,United States,800-248-7971,https://www.virtus.com,Asset Management,Financial Services,"Virtus Investment Partners, Inc. is a publicly owned investment manager. The firm primarily provides its services to individual and institutional clients. It launches separate client focused equity and fixed income portfolios. The firm launches equity, fixed income, and balanced mutual funds for its clients. It invests in the public equity, fixed income, and real estate markets. The firm also invests in exchange traded funds. It employs a multi manager approach for its products. The firm employs quantitative analysis to make its investments. It benchmarks the performance of its portfolios against the S&P 500 Index. The firm conducts in-house research to make its investments. Virtus Investment Partners, Inc. was founded in 1988 and is based in Hartford, Connecticut.",772,"{'maxAge': 1, 'name': 'Mr. Joseph E. Maccone', 'title': 'Sr. Managing Director & Head of Strategic Distribution', 'exercisedValue': 0, 'unexercisedValue': 0}",7,4,2,7,4,1693526400,1672444800,86400,2,205.49,204.73,203.96,206.75,205.49,204.73,203.96,206.75,7.6,0.0379,1698624000,0.353,2.21,1.572959,11.316365,7.9305716,96468,96468,36696,39530,39530,82.38,229.0,800,1200,1500049792,141.8,248.23,1.8292353,204.2306,197.3153,6.6,0.03211835,USD,1600865664,0.1658,6812363,7255380,60350,79214,1689292800,1692057600,0.0083,0.05767,0.87205005,1.61,0.0127,117.373,1.7614783,1672444800,1703980800,1688083200,0.739,135960992,18.27,26.07,0.27,1.952,7.595,NMS,EQUITY,VRTS,VRTS,"Virtus Investment Partners, Inc","Virtus Investment Partners, Inc.",1230906600,America/New_York,EDT,-14400000,206.75,260.0,173.0,216.5,216.5,3.0,hold,2,356991008,49.204,210766000,390606016,2.679,2.683,820041984,40.389,112.62,0.025239998,0.12442,402508000,106433248,197147008,0.79,-0.052,0.41519,0.25702,0.17706,USD,
