,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Blair McLaren Turnbull', 'title': 'CEO & Interim Exec. Director', 'fiscalYear': 2022, 'totalPay': 383370, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
1,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Paul  Johnston', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
2,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Andrew John Hambleton', 'title': 'Chief Admin. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
3,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Tania  Pearson', 'title': 'Gen. Counsel & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
4,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Ms. Emily  Davies', 'title': 'Head of Corp. Affairs & Sustainability', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
5,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Ms. Michelle  Finch', 'title': 'Chief Revenue, Marketing & Brand Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
6,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Ronald  Mudaliar', 'title': 'Chief Underwriting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
7,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Ms. Paula Ter Brake', 'title': 'MD of Pacific', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
8,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Steve  Wilson', 'title': 'Chief Claims Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
9,136 Fanshawe Street,Level 5 PO Box 90347,Auckland,1142,New Zealand,64 9 985 1558,https://www.tower.co.nz,Insurance—Property & Casualty,Financial Services,"Tower Limited provides general insurance products in New Zealand and the Pacific Islands. Its insurance products include car, house, contents, contract works and renovation cover, landlord, boat, business, travel, pet, renters, house and contents bundle, electric vehicle, motorbike and motorcycle, lifestyle block and farm, caravan or trailer, motorhome, campervan & RV, and multi-policy discount insurance. The company was founded in 1869 and is headquartered in Auckland, New Zealand.","{'maxAge': 1, 'name': 'Mr. Greg  Moore', 'age': 52, 'title': 'Chief Digital & Data Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.05,0.0883,1673913600,3.1227,0.392642,28.5,4.3846154,12031,12031,216169,2118,2118,0.57,0.58,0,0,216305872,0.515,0.705,0.5515812,0.5711,0.5904125,0.04,0.06896552,AUD,155614880,0.02747,294456805,379484000,0.06631,0.32811,0.779,0.73170733,1664496000,1696032000,1680220800,7826000,0.02,0.13,9:10,1646265600,0.397,9.692,ASX,EQUITY,TWR.AX,TWR.AX,TOWER FPO NZX,Tower Limited,938390400,Australia/Sydney,AEST,36000000,0.57,none,96594000,0.255,16056000,35903000,0.483,0.873,392156000,12.145,1.034,0.008909999,0.025980001,26160000,13261000,52893000,0.187,0.03341,0.040939998,0.03319,NZD,
