,address1,city,state,zip,country,phone,fax,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Mr. Anthony E. Malkin', 'age': 60, 'title': 'Chairman, CEO & Pres of Empire State Realty Trust Inc', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
1,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Ms. Christina  Chiu', 'age': 41, 'title': 'Exec. VP, CFO & COO of Empire State Realty Trust Inc', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
2,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Mr. Aaron D. Ratner', 'age': 34, 'title': 'Chief Investment Officer of Empire State Realty Trust, Inc', 'yearBorn': 1988, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
3,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Mr. Stephen V. Horn', 'age': 35, 'title': 'Sr. VP & Chief Accounting Officer of Empire State Realty Trust Inc', 'yearBorn': 1987, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
4,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Mr. Sandy  Jacolow', 'title': 'Sr. VP & CTO of Empire State Realty Trust Inc', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
5,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Ms. Katy  Malonoski', 'title': 'VP & Head of Investor Relations of Empire State Realty Trust, Inc', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
6,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Ms. Heather Lawson Houston', 'title': 'Sr. VP, Chief Counsel of Corp. & Sec. at Empire State Realty Trust, Inc', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
7,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Ms. Abigail  Rickards', 'title': 'Sr. VP of Marketing, PR & Digital of Empire State Realty Trust, Inc', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
8,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Mr. Kevin  Vilke', 'title': 'Sr. VP & Chief People Officer of Empire State Realty Trust, Inc', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
9,111 West 33rd Street,New York,NY,10120,United States,212 687 8700,212 850 2751,REIT—Office,Real Estate,"Empire State Realty OP, L.P. operates as a subsidiary of Empire State Realty Trust, Inc.",667,"{'maxAge': 1, 'name': 'Mr. Thomas P. Durels', 'age': 60, 'title': 'Exec. VP of Real Estate - Empire State Realty Trust Inc', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.95,8.81,8.81,8.95,8.95,8.81,8.81,8.95,0.14,0.0156,1694649600,0.48279998,1.352697,30.86207,7936,7936,1416,1650,1650,7.89,9.82,900,800,2389855744,4.7,9.61,3.3185573,8.4488,7.16355,0.14,0.015642459,USD,4407334400,0.11171,28475981,5348550,577,519,1689292800,1693440000,0.0,0.0,0.061669998,0.49,6.15,1.4552845,1672444800,1703980800,1688083200,-0.244,77008000,0.29,6.12,14.427,PCX,EQUITY,OGCP,OGCP,"Empire State Realty OP, L.P. Se","Empire State Realty OP, L.P.",1381239000,America/New_York,EDT,-14400000,8.95,none,334686016,1.235,305483008,2271941888,5.478,6.898,720148992,132.737,2.725,0.020550001,0.0476,385655000,173147872,233400992,-0.197,0.064,0.53783,0.42418998,0.19184999,USD,
