,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Mr. Lee M. Shavel', 'age': 55, 'title': 'CEO, Pres & Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1971328, 'exercisedValue': 0, 'unexercisedValue': 2024300}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
1,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Ms. Elizabeth  Mann', 'age': 46, 'title': 'Exec. VP & CFO', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 1310542, 'exercisedValue': 0, 'unexercisedValue': 0}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
2,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Mr. Nicholas  Daffan', 'age': 52, 'title': 'Exec. VP & Chief Information Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 1178694, 'exercisedValue': 0, 'unexercisedValue': 5241411}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
3,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Ms. Kathlyn Card Beckles', 'age': 47, 'title': 'Exec. VP, Chief Legal Officer, Gen. Counsel & Corp. Sec.', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 986562, 'exercisedValue': 0, 'unexercisedValue': 0}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
4,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Mr. David J. Grover', 'age': 50, 'title': 'Controller & Chief Accounting Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
5,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Mr. Eric  Schneider', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
6,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Ms. Stacey Jill Brodbar', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
7,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Mr. Joe  Madden', 'title': 'PR Leader', 'exercisedValue': 0, 'unexercisedValue': 0}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
8,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Ms. Yang  Chen', 'title': 'Head of Corp. Devel. & Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
9,545 Washington Boulevard,Jersey City,NJ,07310-1686,United States,201 469 3000,201 748 1472,https://www.verisk.com,Consulting Services,Consulting Services,Industrials,Industrials,"Verisk Analytics, Inc. provides data analytics solutions to the insurance markets in the United States and internationally. The company provides predictive analytics and decision support solutions to customers in rating, underwriting, claims, catastrophe and weather risk, global risk analytics, and various other fields. It focuses on the prediction of loss, selection and pricing of risk, and compliance with their reporting requirements for property and casualty insurance customers, as well as develops machine learned and artificially intelligent models to forecast scenarios and produce standard and customized analytics that help its customers to manage their businesses, including detecting fraud before and after a loss event, and quantifying losses. The company was founded in 1971 and is headquartered in Jersey City, New Jersey.",7000,"{'maxAge': 1, 'name': 'Ms. Melissa  Hendricks', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,2,5,8,7,1693526400,1672444800,86400,2,248.49,247.52,244.52,247.71,248.49,247.52,244.52,247.71,1.33,0.0054,1694649600,0.2549,0.830912,48.072403,36.93985,1182138,1182138,988758,768560,768560,244.56,246.55,900,800,35625881600,162.94,249.26,13.87733,235.022,203.99455,1.3,0.0052315984,USD,38406103040,0.19620001,143995935,145027008,5524617,6303730,1690761600,1693440000,0.0381,0.00777,0.99417996,6.14,0.0434,145027008,2.028,121.12918,1672444800,1703980800,1688083200,-0.004,780000000,5.11,6.65,3.9,14.96,45.173,0.3332429,0.14113986,0.34,1694649600,NMS,EQUITY,VRSK,VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",1254922200,America/New_York,EDT,492fd915-1b2c-39dd-85ef-66af7e9bb1f2,finmb_1027055,-14400000,245.65,275.0,215.0,248.06,252.0,2.1,buy,16,311200000,2.146,850200000,3079600128,0.891,1.067,2567200000,1007.063,16.839,0.074499995,0.58314997,1672400000,401037504,1087399936,0.094,0.102,0.67533,0.33118,0.2745,USD,
