,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Mr. Phillip Andrew Wale', 'age': 58, 'title': 'CEO & Exec. Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 501657, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
1,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Mr. Simon James Jackson', 'age': 63, 'title': 'CFO & Exec. Director', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 226091, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
2,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Ms. Danyella  Johnston', 'title': 'Head of Operations & Group IT', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
3,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Mr. Ian  Brady', 'title': 'Chief Investment Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
4,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Mr. Hugh  Morgan', 'title': 'Head of Corp. Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
5,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Ms. Katy Louise Mitchell', 'title': 'Company Sec. & Head of Legal', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
6,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Mr. Stephen  Balonwu', 'title': 'Chief Risk & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
7,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Mr. Roland Arthur John Kitson', 'title': 'Head of Bus. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
8,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Ms. Karen  Barnett', 'title': 'HR Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
9,24 Martin Lane,London,EC4R 0DR,United Kingdom,44 20 7220 1666,https://www.whirelandplc.com,Capital Markets,Financial Services,"WH Ireland Group plc, a financial services company, provides wealth management, wealth planning, and broking services primarily in the United Kingdom. It operates through two segments, Wealth Management and Capital Markets. The Wealth Management segment provides wealth management solutions and independent financial advisory services to retail clients. The Capital Markets Division provides public and private growth capital, day-to-day and strategic corporate advice, broking, trading, and equity research to funds, high net worth individuals, and family offices. This segment also acts as nominated adviser to clients traded on the Alternative Investment Market and engages in the Institutional sales and research business, which carries out stockbroking activities on behalf of companies, as well as conducting research into markets of interest to its clients. The company was founded in 1872 and is headquartered in London, the United Kingdom.",159,"{'maxAge': 1, 'name': 'Mr. Robert  Merrifield', 'title': 'Head of Research', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1426118400,0.0,0.385135,599907,599907,323956,22713,22713,6.0,10.0,0,0,16519020,0.0,34.5,0.56444407,11.41,19.2925,0.0,0.0,GBp,-2992370,-0.020539999,37333210,235986000,0.17462999,0.57011,0.256,27.343748,1648684800,1680220800,1664496000,-601000,-0.01,-0.102,LSE,EQUITY,WHI.L,WHI.L,W.H. IRELAND GROUP PLC ORD 1P,WH Ireland Group plc,964681200,Europe/London,BST,3600000,7.0,none,7995000,0.135,844000,1.585,1.585,29266000,5.558,0.487,-0.02316,-0.03896,31940000,-2435000,-0.159,1.0,0.0,-0.00185,GBP,
