,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Jordan L. Kaplan', 'age': 61, 'title': 'Pres, CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 815934, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
1,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Peter D. Seymour', 'age': 54, 'title': 'Chief Financial Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 563000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
2,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Kenneth M. Panzer', 'age': 62, 'title': 'COO & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 812215, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
3,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Kevin Andrew Crummy', 'age': 56, 'title': 'Chief Investment Officer', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 813000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
4,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Ms. Mona M. Gisler', 'age': 48, 'title': 'Chief Accounting Officer', 'yearBorn': 1974, 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
5,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Stuart  McElhinney', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
6,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Ms. Michele L. Aronson', 'title': 'Exec. VP, Gen. Counsel & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
7,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Michael J. Means', 'age': 61, 'title': 'Sr. VP of Commercial Leasing', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
8,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Allan B. Golad', 'age': 67, 'title': 'Sr. VP of Property Management', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
9,1299 Ocean Avenue,Suite 1000,Santa Monica,CA,90401-1889,United States,310 255 7700,310 255 7702,https://www.douglasemmett.com,REIT—Office,Real Estate,"Douglas Emmett, Inc. (DEI) is a fully integrated, self-administered and self-managed real estate investment trust (REIT), and one of the largest owners and operators of high-quality office and multifamily properties located in the premier coastal submarkets of Los Angeles and Honolulu. Douglas Emmett focuses on owning and acquiring a substantial share of top-tier office properties and premier multifamily communities in neighborhoods that possess significant supply constraints, high-end executive housing and key lifestyle amenities.",750,"{'maxAge': 1, 'name': 'Mr. Theodore E. Guth', 'age': 67, 'title': 'Sr. Advisor', 'yearBorn': 1955, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",5,8,10,9,9,1693526400,1672444800,86400,2,13.37,13.22,13.05,13.52,13.37,13.22,13.05,13.52,0.76,0.056799997,1695859200,2.5758,4.02,1.011756,40.90909,-38.57143,4983545,4983545,2654827,2328710,2328710,13.25,14.11,1100,3100,2689712896,10.09,21.12,2.6598008,13.6868,13.7017,0.85,0.06357517,USD,8674677760,0.057719998,161498831,166738000,25177045,19608252,1690761600,1693440000,0.15100001,0.044510003,1.08189,12.64,0.2215,14.318,0.9428691,1672444800,1703980800,1688083200,57344000,0.33,-0.35,-22.55,8.578,14.425,NYQ,EQUITY,DEI,DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc.",1161783000,America/New_York,EDT,-14400000,13.5,16.0,10.0,13.7,14.5,3.0,hold,10,516993984,3.101,601382976,5275492864,2.512,2.534,1011246016,129.482,5.807,0.01355,0.01145,657255000,429288512,483120992,0.027,0.65068,0.59469,0.20706,USD,
