,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. W. Whitney George', 'age': 64, 'title': 'CEO & Director', 'yearBorn': 1958, 'fiscalYear': 2021, 'totalPay': 2311600, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
1,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. Kevin Lloyd Hibbert CA, F.C.A., FCPA', 'title': 'Sr. Managing Partner, CFO & Co-Head of the Enterprise Shared Services', 'fiscalYear': 2021, 'totalPay': 1976000, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
2,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. Arthur  Einav', 'age': 46, 'title': 'Sr. Managing Partner, Gen. Counsel, Corp. Sec. & Co-head of Ent. Shared Services', 'yearBorn': 1976, 'fiscalYear': 2021, 'totalPay': 2273000, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
3,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. John  Ciampaglia CFA', 'title': 'Sr. Managing Partner', 'fiscalYear': 2021, 'totalPay': 2412000, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
4,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. Dan  Elder', 'title': 'Managing Partner & CTO', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
5,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. Glen  Williams', 'title': 'Managing Partner of Investor & Institutional Client Relations and Head of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
6,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Ms. Heather  MacLeod', 'title': 'Sr. Managing Partner & Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
7,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. Andrew James Stronach P.E., P.Eng', 'title': 'Managing Partner of Corp. Devel. & ESG', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
8,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. Edward C. Coyne', 'title': 'Sr. Managing Partner of Global Sales & Head of Global Sales', 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
9,Royal Bank Plaza,South Tower Suite 2600 200 Bay Street,Toronto,ON,M5J 2J1,Canada,416-943-8099,https://www.sprott.com,Asset Management,Financial Services,"Sprott Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides asset management, portfolio management, wealth management, fund management, and administrative and consulting services to its clients. It offers mutual funds, hedge funds, and offshore funds, along with managed accounts. Further, the firm also provides broker-dealer activities. Sprott Inc. was formed on February 13, 2008 and is based in Toronto, Canada.",173,"{'maxAge': 1, 'name': 'Mr. Jason G. Mayer C.F.A., CFA, M.B.A.', 'title': 'Managing Partner', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,7,1,6,1693526400,1640908800,86400,2,45.01,45.08,45.0,45.97,45.01,45.08,45.0,45.97,1.36,0.0297,1692316800,0.7299,3.13,1.297091,24.655914,21.734598,22163,22163,39782,33370,33370,45.83,45.96,0,0,1187773952,41.3,56.4,7.107227,44.2528,47.1283,1.0,0.022217287,CAD,1179101440,0.214,20452001,25900000,271211,259795,1690761600,1693440000,0.0105,0.19514,0.27910998,4.9,11.825,3.8782241,1672444800,1703980800,1688083200,22.413,35764000,1.86,2.11,-1.39,1:10,1590624000,7.055,18.499,TOR,EQUITY,SII.TO,SII.TO,SPROTT INC.,Sprott Inc.,1216906200,America/Toronto,EDT,-14400000,45.86,50.88,45.9,49.22,50.88,2.7,hold,3,22365000,0.888,63740000,34437000,1.286,1.787,167122000,11.112,6.642,0.104779996,0.1192,62742000,57388752,30015000,21.667,0.779,0.54353,0.3814,0.38001,USD,
