,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Mr. William J. McMorrow', 'age': 75, 'title': 'Chairman & CEO', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 6370180, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
1,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Ms. Mary L. Ricks', 'age': 58, 'title': 'Pres & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 4446337, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
2,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Mr. Justin  Enbody', 'age': 41, 'title': 'Chief Financial Officer', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 2018500, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
3,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Mr. Kent Y. Mouton Esq.', 'age': 69, 'title': 'Exec. VP, Gen. Counsel & Director', 'yearBorn': 1953, 'fiscalYear': 2022, 'totalPay': 2200000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
4,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Mr. Matt  Windisch', 'age': 42, 'title': 'Exec. VP', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 2606000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
5,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Mr. Daven  Bhavsar', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
6,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Ms. Emily  Heidt', 'title': 'VP of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
7,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Ms. Regina  Finnegan', 'title': 'Exec. VP and Director of Global Risk Management & HR', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
8,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Mr. Gautam  Doshi', 'title': 'Sr. Managing Director', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
9,151 South El Camino Drive,Beverly Hills,CA,90212,United States,310 887 6400,310 887 3410,https://www.kennedywilson.com,Real Estate Services,Real Estate,"Kennedy-Wilson Holdings, Inc., together with its subsidiaries, operates as a real estate investment company. The company owns, operates, and invests in real estate both on its own and through its investment management platform. It focuses on multifamily and office properties located in the Western United States, the United Kingdom, Ireland, Spain, Italy, and Japan. The company had ownership interests in multifamily units, office space, retail and industrial space, and a hotel. It is also involved in the development, redevelopment, and entitlement of real estate properties. The company was founded in 1977 and is headquartered in Beverly Hills, California.",224,"{'maxAge': 1, 'name': 'Mr. Mike  Pegler', 'title': 'Head of UK', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,2,2,3,1693526400,1672444800,86400,2,15.3,15.3,15.2,15.3,15.3,15.3,15.2,15.3,0.87,0.056999996,1695859200,3.5556,4.84,1.19502,61.2,117.692314,500,500,18,50,50,15.2,15.7,19800,19100,2168270080,13.0,17.4,3.801315,14.73,14.986,0.96,0.062745094,EUR,7856840704,0.12149,118444576,139391008,0.15043001,0.93078005,9.785,1.5636178,1672444800,1703980800,1688083200,37200000,0.25,0.13,304.0,13.774,37.096,FRA,EQUITY,13K.F,13K.F,"KENNEDY-WILSON  DL-,0001","Kennedy-Wilson Holdings, Inc.",1394002800,Europe/Berlin,CEST,7200000,15.3,25.0,22.5,23.88,24.0,2.2,buy,4,445500000,3.196,211800000,5346899968,0.672,1.021,570400000,242.975,4.139,0.0040599997,0.03885,418400000,76325000,52100000,0.062,0.66760004,0.37132,0.09397,USD,
